Auteur;Date;Titre;Editeur;Auteur - Titre
Gehu J.-M., Boullet V., Scoppola A. & Wattez J.-R.;1984;Essai de synthèse phytosociologique des pelouses sur craie du nord-ouest de la France;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 65-104";Gehu J.-M., Boullet V., Scoppola A. & Wattez J.-R. - Essai de synthèse phytosociologique des pelouses sur craie du nord-ouest de la France - 1984
Gehu J.-M., Bournique C., Gehu-Franck J.;1988;Ebauche d'une typologie des stations forestières dans le nord de la France: l'exemple de la forêt domaniale de Phalempin;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  349-362";Gehu J.-M., Bournique C., Gehu-Franck J. - Ebauche d'une typologie des stations forestières dans le nord de la France: l'exemple de la forêt domaniale de Phalempin - 1988
Gehu J.-M., Bouzille J.-B., Bioret F., Godeau M., Botineau M., Clement B., Touffet J. & Lahondere C.;1991;Approche paysagère symphytosociologique des marais littoraux du centre-ouest de la France;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 109-127";Gehu J.-M., Bouzille J.-B., Bioret F., Godeau M., Botineau M., Clement B., Touffet J. & Lahondere C. - Approche paysagère symphytosociologique des marais littoraux du centre-ouest de la France - 1991
Géhu J.-M., Caron B. & Bon M.;1976;Données sur la végétation des prés salés de la Baie de Somme.;"Coll. Phytosoc. IV, ""La végétation des vases salées"", Lille 1975: 197-225.";Géhu J.-M., Caron B. & Bon M. - Données sur la végétation des prés salés de la Baie de Somme. - 1976
Gehu J.-M., De Foucault B. & Delelis-Dusolier A.;1983;Essai sur un schéma synsystématique des végétations arbustives préforestières de l'Europe occidentale;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 463-479";Gehu J.-M., De Foucault B. & Delelis-Dusolier A. - Essai sur un schéma synsystématique des végétations arbustives préforestières de l'Europe occidentale - 1983
Géhu J.-M., de Foucault B., Duvigneaud J., Julve P., Provost M. & Wattez J.-R.;1988;La végétation aquatique et amphibie des étangs de la Brenne. Originalité, problèmes de gestion et de conservation.;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 635-666.";Géhu J.-M., de Foucault B., Duvigneaud J., Julve P., Provost M. & Wattez J.-R. - La végétation aquatique et amphibie des étangs de la Brenne. Originalité, problèmes de gestion et de conservation. - 1988
Gehu J.-M., Gehu-Franck J.;1985;Les voiles nitrophiles annuels des dunes armoricaines anthropisées;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 1-22";Gehu J.-M., Gehu-Franck J. - Les voiles nitrophiles annuels des dunes armoricaines anthropisées - 1985
Gehu J.-M., Gehu-Franck J.;1988;Données sur les forêts littorales hyperatlantiques thermophiles de la Côte d'Emeraude (D'Erquy à Cancale, Bretagne);"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  115-132";Gehu J.-M., Gehu-Franck J. - Données sur les forêts littorales hyperatlantiques thermophiles de la Côte d'Emeraude (D'Erquy à Cancale, Bretagne) - 1988
Gehu J.-M., Gehu-Franck J.;1991;Essai d'évaluation phytocoenotique de l'artificialisation des paysages;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 497-515";Gehu J.-M., Gehu-Franck J. - Essai d'évaluation phytocoenotique de l'artificialisation des paysages - 1991
Gehu J.-M., Gehu-Franck J. & Scoppola A.;1984;Les pelouses crayeuses du Boulonnais et de l'Artois (Nord de la France) - 1 - Analyse phytosociologique, écologique et dynamique;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 37-64";Gehu J.-M., Gehu-Franck J. & Scoppola A. - Les pelouses crayeuses du Boulonnais et de l'Artois (Nord de la France) - 1 - Analyse phytosociologique, écologique et dynamique - 1984
Gehu J.-M., Gehu-Franck J. & Scoppola A.;1985;Schéma synsystématique des végétations nitrophiles et subnitrophiles de la région Nord/Pas-de-Calais;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 567-575";Gehu J.-M., Gehu-Franck J. & Scoppola A. - Schéma synsystématique des végétations nitrophiles et subnitrophiles de la région Nord/Pas-de-Calais - 1985
Gehu J.-M., Gehu-Franck J., Scoppola A.;1984;Les pelouses crayeuses du Boulonnais et de l'Artois (Nord de la France): II - Essai d'évaluation hiérarchisée de la valeur phytocoenotique à des fins conservatoires;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 587-600";Gehu J.-M., Gehu-Franck J., Scoppola A. - Les pelouses crayeuses du Boulonnais et de l'Artois (Nord de la France): II - Essai d'évaluation hiérarchisée de la valeur phytocoenotique à des fins conservatoires - 1984
Gehu J.M., Kaabeche M., Gharzouli R.;1994;Phytosociologie et typologie des habitats des rives droites des lacs de la région de El Kala (Algérie);"Coll. Phytosoc. XXII, ""Syntaxonomie typologique des habitats"", Bailleul 1993: 297-329";Gehu J.M., Kaabeche M., Gharzouli R. - Phytosociologie et typologie des habitats des rives droites des lacs de la région de El Kala (Algérie) - 1994
Géhu J.-M., Richard J.-L. & Tüxen R.;1972;Compte-rendu de l’excursion de l’Association Internationale de Phytosociologie dans le Jura en juin 1967 (1ère partie).;Doc. Phytosoc., NS, II: 1-44.;Géhu J.-M., Richard J.-L. & Tüxen R. - Compte-rendu de l’excursion de l’Association Internationale de Phytosociologie dans le Jura en juin 1967 (1ère partie). - 1972
Gehu J.-M., Roman N. & Blanchard F.;1995;Cartographie de la végétation et appréciation de la biodiversité réelle à l'échelle des communautés végétales: l'exemple de la réserve de biosphère d'Errentiouk dans le delta du Danube (Roumanie);"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 573-580";Gehu J.-M., Roman N. & Blanchard F. - Cartographie de la végétation et appréciation de la biodiversité réelle à l'échelle des communautés végétales: l'exemple de la réserve de biosphère d'Errentiouk dans le delta du Danube (Roumanie) - 1995
Gehu-Franck J. & J.-M.;1986;Incidence de la microtopographie sur la végétation des prés salés: l'exemple de la baie de Canche;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 807-810";Gehu-Franck J. & J.-M. - Incidence de la microtopographie sur la végétation des prés salés: l'exemple de la baie de Canche - 1986
Gehu-Franck J. 1 J.-M.;1986;Végétation et géomorphologie littorale: l'exemple de la plage de Neville (50);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 811-814";Gehu-Franck J. 1 J.-M. - Végétation et géomorphologie littorale: l'exemple de la plage de Neville (50) - 1986
Gehu-Franck J., Gehu J.-M. & Dhennin R.;1988;Transect pédologique en forêt domaniale de Phalempin: apport de la typologie des stations forestières;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  593-616";Gehu-Franck J., Gehu J.-M. & Dhennin R. - Transect pédologique en forêt domaniale de Phalempin: apport de la typologie des stations forestières - 1988
Geissler P.;1976;Zur Vegetation alpiner Fliessgewässer.;Beiträge zur Kryptogamenflora der Schweiz 14/2: 1:77.;Geissler P. - Zur Vegetation alpiner Fliessgewässer. - 1976
Gensac P.;1964;Les pessières de Tarentaise. Etude phytogéographique et pédologique.;Doc. Carte Vég. Alpes II: 119-155.;Gensac P. - Les pessières de Tarentaise. Etude phytogéographique et pédologique. - 1964
Gensac P.;1967;Les forêts d'Epicéa de Moyenne Tarentaise. Recherche des différents types de pessières.;Rev. gén. Bot. 74: 425-528. ;Gensac P. - Les forêts d'Epicéa de Moyenne Tarentaise. Recherche des différents types de pessières. - 1967
Gensac P.;1988;Sol et végétation dans les pessières de moyenne Tarentaise;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  507-513";Gensac P. - Sol et végétation dans les pessières de moyenne Tarentaise - 1988
Gerdol R., Ferrari C., Piccoli F., Tomaselli M.;1986;Vegetation and Geomorphology in a fossil glacial cirque of the Northern Apennines (Italy);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 293-306";Gerdol R., Ferrari C., Piccoli F., Tomaselli M. - Vegetation and Geomorphology in a fossil glacial cirque of the Northern Apennines (Italy) - 1986
Gerdol R., Mantovani Gerdol E.;1988;Influence of rabbit on dune vegetation in the Po delta region (Northern Italy);"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 713-720";Gerdol R., Mantovani Gerdol E. - Influence of rabbit on dune vegetation in the Po delta region (Northern Italy) - 1988
Gharzouli R. & Kaabeche M.;2000;Observations phytosociologiques au Tassili des Ajjer, Sahara central - Algérie;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 329-336";Gharzouli R. & Kaabeche M. - Observations phytosociologiques au Tassili des Ajjer, Sahara central - Algérie - 2000
Ghestem A.;1972;Essai de synthèse des végétations halophiles de la baie de la Canche.;Doc. Phytosoc., NS, I: 1-33.;Ghestem A. - Essai de synthèse des végétations halophiles de la baie de la Canche. - 1972
Ghestem A. & Wattez J.-R.;1978;Etudes phytosociologiques sur les confins de la Marche et du Berry.;Doc. Phytosoc., NS, II: 205-246.;Ghestem A. & Wattez J.-R. - Etudes phytosociologiques sur les confins de la Marche et du Berry. - 1978
Ghestem A., Botineau M., Descubes-Gouilly C. & Vilks A.;1988;Le site du Longeroux (Corrèze) : premiers documents phytosociologiques (bas marais tourbeux, tourbière active et landes tourbeuses).;Ann. Scient. Limousin 4: 43-54.;Ghestem A., Botineau M., Descubes-Gouilly C. & Vilks A. - Le site du Longeroux (Corrèze) : premiers documents phytosociologiques (bas marais tourbeux, tourbière active et landes tourbeuses). - 1988
Ghestem A., Botineau M., Desmaison V., Balabanian O. & Bouet G.;1993;Friches et phytodynamique forestière en Limousin (Centre-Ouest de la France): Exemples de la Montagne Limousine et des plateaux correziens;"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 315-326";Ghestem A., Botineau M., Desmaison V., Balabanian O. & Bouet G. - Friches et phytodynamique forestière en Limousin (Centre-Ouest de la France): Exemples de la Montagne Limousine et des plateaux correziens - 1993
Ghorbanli M., Asri Y. & Hamzehee B.;2000;La végétation halophile de la bordure sud de la Sebkha Garmsar (Iran);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 491-502";Ghorbanli M., Asri Y. & Hamzehee B. - La végétation halophile de la bordure sud de la Sebkha Garmsar (Iran) - 2000
Gillet F.;1980;La seigne des Cerneux-Gourinots un exemple original de tourbière Jurassienne.;Bull. Soc. Hist. Nat. Pays de Monbéliard, p.65-76;Gillet F. - La seigne des Cerneux-Gourinots un exemple original de tourbière Jurassienne. - 1980
Gillet F.;1982;L'alliance du Sphagno-Tomentypnion dans le Jura.;Doc. Phytosoc., NS, VI: 155-180.;Gillet F. - L'alliance du Sphagno-Tomentypnion dans le Jura. - 1982
Gillet F.;1986;Annalyse concrète et théorique des relations à différents niveaux de perception phytoécologique entre végétation forestière et géomorphologie dans le Jura nord-occidental;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 101-131";Gillet F. - Annalyse concrète et théorique des relations à différents niveaux de perception phytoécologique entre végétation forestière et géomorphologie dans le Jura nord-occidental - 1986
Gillet F.;1986;Les phytocoenoses forestières du Jura Nord-Occidental, essai de phytosociologie intégrée.;Faculté des Sciences et Techniques de l'Université de Franche-Comté, 604 p.;Gillet F. - Les phytocoenoses forestières du Jura Nord-Occidental, essai de phytosociologie intégrée. - 1986
Gillet F.;1988;"L'approche synusiale intégrée des phytocénoses forestières; application au forêts du Jura";"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  81-92";"Gillet F. - L'approche synusiale intégrée des phytocénoses forestières; application au forêts du Jura - 1988"
Girard C.;1989;Intégration des données phytosociologiques aux finalités agronomiques: application à l'évaluation de la production de la phytomasse aérienne chlorophylienne;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 471-481";Girard C. - Intégration des données phytosociologiques aux finalités agronomiques: application à l'évaluation de la production de la phytomasse aérienne chlorophylienne - 1989
Girard C.M.;1984;Etude des variations phénologiques de la végétation de quelques pelouses calcaires d'Auxois: utilisation de données de télédétection;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 311-324";Girard C.M. - Etude des variations phénologiques de la végétation de quelques pelouses calcaires d'Auxois: utilisation de données de télédétection - 1984
Girault D.;1988;Le catalogue des stations forestières des crêtes pré-Ardennaises;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  423-434";Girault D. - Le catalogue des stations forestières des crêtes pré-Ardennaises - 1988
Girel J. & Pautou G.;1984;Les pelouses calcaires des alluvions de l'Ain en amont de la confluence avec le Rhône;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 229-237";Girel J. & Pautou G. - Les pelouses calcaires des alluvions de l'Ain en amont de la confluence avec le Rhône - 1984
Girel J. & Pautou G.;1986;Associations végétales et types de cultures dans les sections à forte pente du Haut-Rhône français;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 669-689";Girel J. & Pautou G. - Associations végétales et types de cultures dans les sections à forte pente du Haut-Rhône français - 1986
Gitay H. & Dale M. B.;1995;Large area vegetation mapping in Australia;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 67-76";Gitay H. & Dale M. B. - Large area vegetation mapping in Australia - 1995
Gloaguen J.-C. & Touffet J.;1975;La végétation des landes des monts d'Arrée;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 227-236";Gloaguen J.-C. & Touffet J. - La végétation des landes des monts d'Arrée - 1975
Gloaguen J.-C. & Touffet J.;1988;Phytosociologie et stations forestières en Bretagne;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  467-482";Gloaguen J.-C. & Touffet J. - Phytosociologie et stations forestières en Bretagne - 1988
Godefroid S. & Tanghe M.;2000;Premier aperçu phytosociologique des bords de route de la Wallonie (Belgique);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 301-313";Godefroid S. & Tanghe M. - Premier aperçu phytosociologique des bords de route de la Wallonie (Belgique) - 2000
Godron M., Darracq S. & Auvray F.;1988;L'apport des liaisons interspécifiques;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  417-421";Godron M., Darracq S. & Auvray F. - L'apport des liaisons interspécifiques - 1988
Goetze D. & Schwabe A.;2000;Link ecosystem mosaics and biodiversity concepts by means of sigmasociology;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 789-812";Goetze D. & Schwabe A. - Link ecosystem mosaics and biodiversity concepts by means of sigmasociology - 2000
Gonzalez Loyarte M.;1986;La végétation et la géomorphologie dans le Piémont andin du Tupungato, Mendoza (Argentine);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 847-856";Gonzalez Loyarte M. - La végétation et la géomorphologie dans le Piémont andin du Tupungato, Mendoza (Argentine) - 1986
Görs S.;1963;Beiträge zur Kenntnis basiphiler Flachmoorgesellschaftten. I. Teil: Das Davallseggen Quellmoor (Caricetum davallianae Koch 28). ;Beih. Veröff Naturschutz Landschaftspflege Bad.-Württ 31: 7-30;Görs S. - Beiträge zur Kenntnis basiphiler Flachmoorgesellschaftten. I. Teil: Das Davallseggen Quellmoor (Caricetum davallianae Koch 28).  - 1963
Goubet P., Thébaud G. & Pétel G.;2006;La dynamique des hauts-marais et les paramètres écologiques qui la contrôlent: proposition d'un schéma fonctionnel et application à la conservation. ;Rev. Ecol (Terre Vie) 61: 101-116. ;Goubet P., Thébaud G. & Pétel G. - La dynamique des hauts-marais et les paramètres écologiques qui la contrôlent: proposition d'un schéma fonctionnel et application à la conservation.  - 2006
Graber A.;1924;La flore des Gorges de l'Areuse et du Creux-du-Van ainsi que des régions environnantes.;Bull. Soc. Neuchl. Sci. Nat. 48: 25-365.;Graber A. - La flore des Gorges de l'Areuse et du Creux-du-Van ainsi que des régions environnantes. - 1924
Graebner P. & Hueck K.;1931;Die Vegetationsverhältnisse des Dümmergebietes.;Abhh. Westf. Prov.-Mus. Naturkd.  2: 59-83.;Graebner P. & Hueck K. - Die Vegetationsverhältnisse des Dümmergebietes. - 1931
Gresset V.;1986;Relations végétation géomorphologie dans les sapinières Oriento-Pyrénéennes.;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 231-240";Gresset V. - Relations végétation géomorphologie dans les sapinières Oriento-Pyrénéennes. - 1986
Grevilliot F. & Muller S.;1995;Les groupements végétaux prairiaux de la plaine alluviale de la Meuse (Lorraine, France). Position syntaxonomique et biogéographique dans le cadre ouest-européen;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 115-144";Grevilliot F. & Muller S. - Les groupements végétaux prairiaux de la plaine alluviale de la Meuse (Lorraine, France). Position syntaxonomique et biogéographique dans le cadre ouest-européen - 1995
Grube H.-J.;1975;Die Makrophytenvegetation der Fließgewässer in Süd-Niedersachsen und ihre Beziehungen zur Gewässerverschmutzung.;Arch. Hydrobiol./Suppl. 45 4: 376-456.;Grube H.-J. - Die Makrophytenvegetation der Fließgewässer in Süd-Niedersachsen und ihre Beziehungen zur Gewässerverschmutzung. - 1975
Gruber M.;1973;La Chênaie rouvre dans les Pyrénées ariégeoises;Bull. Soc. Bot. de Fr., 120, 123-132;Gruber M. - La Chênaie rouvre dans les Pyrénées ariégeoises - 1973
Gruber M.;1975;Les association du Nardion Br.-Bl. 1926 en Pyrénées ariégeoise et catalane.;Bull. Soc. Bot. de Fr., 122, p. 401-416;Gruber M. - Les association du Nardion Br.-Bl. 1926 en Pyrénées ariégeoise et catalane. - 1975
Gruber M.;1978;La végétation des Pyrénées ariégeoises et catalanes occidentales.;Thèse, Aix- Marseille, 305p.;Gruber M. - La végétation des Pyrénées ariégeoises et catalanes occidentales. - 1978
Gruber M.;1980;Etages et séries de végétation de la chaïne pyrénéenne.;Ecologia Mediterranea 5: 147-171.;Gruber M. - Etages et séries de végétation de la chaïne pyrénéenne. - 1980
Gruber M.;1984;Le problème du climax aux étages montagnard et subalpin des Pyrénées.;Documents d'Ecologie Pyrénéenne III-IV: 83-89.;Gruber M. - Le problème du climax aux étages montagnard et subalpin des Pyrénées. - 1984
Gruber M.;1984;Les marais à Eriophorum latifolium Hoppe et laîches en vallée de Louron (Pyrénées centrales);Bull. Soc. Hist. Nat. Toulouse, 120, 27-30;Gruber M. - Les marais à Eriophorum latifolium Hoppe et laîches en vallée de Louron (Pyrénées centrales) - 1984
Gruber M.;1984;Les callunaies à Cytisus decumbens (Durande) Spach de Grascouéou (vallée d'Aure-Hautes-Pyrénées);Bull. Soc. Hist. Nat. Toulouse, 120, 31-34;Gruber M. - Les callunaies à Cytisus decumbens (Durande) Spach de Grascouéou (vallée d'Aure-Hautes-Pyrénées) - 1984
Gruber M.;1985;Les pelouses du Xerobromion erecti Br.-Bl. Et Moor 1938 du Bassin des Nestes (Hautes-Pyrénées);Ecologia mediterranea, tome XI, fasc. 4, 3-10;Gruber M. - Les pelouses du Xerobromion erecti Br.-Bl. Et Moor 1938 du Bassin des Nestes (Hautes-Pyrénées) - 1985
Gruber M.;1986;Les chênaies atlantiques et les charmaies des Hautes-Pyrénées. Essai d'étude phytosociologique;Colloque international de botanique pyrénéenne, la Cabanasse (Pyrénées-Orientales), 3-5 juillet 1986, 171-181;Gruber M. - Les chênaies atlantiques et les charmaies des Hautes-Pyrénées. Essai d'étude phytosociologique - 1986
Gruber M.;1986;Chênes et Chênaies atlantiques dans la moitié septentrionale des Hautes-Pyrénées.;Bull. de la Soc. Ramond, p. 5-17;Gruber M. - Chênes et Chênaies atlantiques dans la moitié septentrionale des Hautes-Pyrénées. - 1986
Gruber M.;1987;Les hêtraie de l'Helleboro (viridis)-Fagetum O. Bolos (1948) 1957 des Hautes-Pyrénées.;Bull. Soc. Linn. Provence, 39, p. 91-97;Gruber M. - Les hêtraie de l'Helleboro (viridis)-Fagetum O. Bolos (1948) 1957 des Hautes-Pyrénées. - 1987
Gruber M.;1987;Effet de l'altitude sur la richesse spécifique des prairies de fauche centro-pyrénéennes.;Bull. Soc. Ramond, 122éme année, p. 41-50;Gruber M. - Effet de l'altitude sur la richesse spécifique des prairies de fauche centro-pyrénéennes. - 1987
Gruber M.;1988;Les bois mixtes à Carpinus betulus L. des Hautes-Pyrénées;Bull. Soc. Hist. Nat. Toulouse, 124, 35-41;Gruber M. - Les bois mixtes à Carpinus betulus L. des Hautes-Pyrénées - 1988
Gruber M.;1989;Les forêts de Quercus robur L. des Hautes-Pyrénées;Bull. Soc. Hist. Nat. Toulouse, 125, 69-72;Gruber M. - Les forêts de Quercus robur L. des Hautes-Pyrénées - 1989
Gruber M.;1989;Les chênaies acidiphiles à Quercus petraea et Q. pyrenaica de la partie collinéenne des Hautes-Pyrénées.;Bull. Soc. Hist. Nat. Toulouse, 125, p. 73-78;Gruber M. - Les chênaies acidiphiles à Quercus petraea et Q. pyrenaica de la partie collinéenne des Hautes-Pyrénées. - 1989
Gruber M.;1989;Le chêne pubescent dans le département des Hautes-Pyrénées.;Revue de Comminges, 102, n° 93, p. 387-393;Gruber M. - Le chêne pubescent dans le département des Hautes-Pyrénées. - 1989
Gruber M.;1990;La chênaie pubescente à buis des Prépyrénées centrales septentrionales;Bull. Soc. Hist. Nat. Toulouse, 126, 73-78;Gruber M. - La chênaie pubescente à buis des Prépyrénées centrales septentrionales - 1990
Gruber M.;1990;Les landes à ajonc nain (Ulex minor Roth) du piémont des Pyrénées.;Revue de Comminges, CIII, p. 299-302;Gruber M. - Les landes à ajonc nain (Ulex minor Roth) du piémont des Pyrénées. - 1990
Gruber M.;1991;Les landes mésophiles à Ulex minor Roth de la partie centro-orientale des Hautes-Pyrénées;Bull. Soc. Hist. Nat. Toulouse, 127, 95-99;Gruber M. - Les landes mésophiles à Ulex minor Roth de la partie centro-orientale des Hautes-Pyrénées - 1991
Gruber M.;1992;Schéma des séries dynamiques de végétation des Hautes-Pyrénées (Pyrénées centrales françaises).;Bot. Complutensis 17: 7-21.;Gruber M. - Schéma des séries dynamiques de végétation des Hautes-Pyrénées (Pyrénées centrales françaises). - 1992
Gruber M.;1992;Les fruticées calcicoles à Genista hispanica L. subsp. occidentalis Rouy des Hautes-Pyrénées;Bull. Soc. Hist. Nat. Toulouse, 128, 33-36;Gruber M. - Les fruticées calcicoles à Genista hispanica L. subsp. occidentalis Rouy des Hautes-Pyrénées - 1992
Gruber M.;1993;Les buxaies thermophiles des Hautes-Pyrénées;Bull. Soc. Hist. Nat. Toulouse, 129, 37-41;Gruber M. - Les buxaies thermophiles des Hautes-Pyrénées - 1993
Gruber M.;1996;Les callunaies montagnardes à Arctostaphylos uva ursi (L.) Sprengel des Hautes-Pyrénées (France);Bull. Soc. Hist. Nat. Toulouse, 132, 25-28;Gruber M. - Les callunaies montagnardes à Arctostaphylos uva ursi (L.) Sprengel des Hautes-Pyrénées (France) - 1996
Grüneberg H. & Schlüter H.;1957;Waldgesellschaften im Thüringischen Schiefergebirge.;Archiv für Forstwesen 6(11-12): 861-931. ;Grüneberg H. & Schlüter H. - Waldgesellschaften im Thüringischen Schiefergebirge. - 1957
Guerlesquin M. & Wattez J.-R.;1979;Flore et groupements végétaux des milieux aquatiques sub-littoraux dans les bas-champs de Cayeux-Onival (Somme), phanérogames et cryptogames.;Doc. Phytosoc., NS, IV: 397-421. ;Guerlesquin M. & Wattez J.-R. - Flore et groupements végétaux des milieux aquatiques sub-littoraux dans les bas-champs de Cayeux-Onival (Somme), phanérogames et cryptogames. - 1979
Guinochet M.;1939;Observation sur la végétation des étages montagnard et subalpin dans le bassin de Giffre (Haute-Savoie).;Extrait de la Revue Générale de Botanique, Tome 51, 1939, 78p.;Guinochet M. - Observation sur la végétation des étages montagnard et subalpin dans le bassin de Giffre (Haute-Savoie). - 1939
Guinochet M.;1955;Carte phytosociologique de Pontarlier (5-6).;IGN, Paris.;Guinochet M. - Carte phytosociologique de Pontarlier (5-6). - 1955
Guinochet M.;1955;Logique et dynamique du peuplement végétal - Phytogéographie, Phytosociologie, Biosystématique, Applications agronomiques;Masson & Cie, 143 p.;Guinochet M. - Logique et dynamique du peuplement végétal - Phytogéographie, Phytosociologie, Biosystématique, Applications agronomiques - 1955
Guyonneau J., Mady M. & Fernez T.;2008;"Typologie, cartographie et évaluation de l'état de conservation des habitats naturels et semi-naturels et des populations d'espèces végétales remarquables du site ENS 25MA04 "" Lac et marais de l'Entonnoir "" (commune de Bouverans et de Bonnevaux, Doubs).";Conservatoire botanique National de Franche-Comté, Communauté de Communes Frasne-Drugeon, Conseil Général du doubs, 195p.;"Guyonneau J., Mady M. & Fernez T. - Typologie, cartographie et évaluation de l'état de conservation des habitats naturels et semi-naturels et des populations d'espèces végétales remarquables du site ENS 25MA04 "" Lac et marais de l'Entonnoir "" (commune de Bouverans et de Bonnevaux, Doubs). - 2008"
Habiyaremye F.X.;1995;Typologie et végétation naturelle de la plaine des rivières Kagitumba et Mivumba (Nord-est du Rwanda);"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 581-592";Habiyaremye F.X. - Typologie et végétation naturelle de la plaine des rivières Kagitumba et Mivumba (Nord-est du Rwanda) - 1995
Habiyaremye F.-X. & Lejoly J.;1993;Place des fruticées sclérophylles dans la dynamique de la végétation au Rwanda occidental;"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 327-341";Habiyaremye F.-X. & Lejoly J. - Place des fruticées sclérophylles dans la dynamique de la végétation au Rwanda occidental - 1993
Habiyaremye M. K. (F. X.);2000;Interprétation syntaxonomique du dynamisme des groupements végétaux de la dorsale orientale du lac Kivu;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 443-464";Habiyaremye M. K. (F. X.) - Interprétation syntaxonomique du dynamisme des groupements végétaux de la dorsale orientale du lac Kivu - 2000
Habiyaremye M.K.;1997;Etude phytocoenologique de la dorsale orientale du lac Kivu (Rwanda);Musée Royale de l'Afrique Centrale, Tervuren, Belgique, Annales Sciences Economiques, vol. 24, 276 p.;Habiyaremye M.K. - Etude phytocoenologique de la dorsale orientale du lac Kivu (Rwanda) - 1997
Hada? E.;1969;"Die Pflanzengesellschaften des Tales ""Dolina Siedmich prame?ov"" in der Belaer Tatra.";Vegetácia ?SSR 2, Vydavatel?stvo Slovenskej akadémie vied, Bratislava, 343p.;"Hada? E. - Die Pflanzengesellschaften des Tales ""Dolina Siedmich prame?ov"" in der Belaer Tatra. - 1969"
Hada? E. & Sofron J.;1980;Notes on Syntaxonomy of Cultural Forest Communities.;Folia geobot. phytotax. 15: 245-258. ;Hada? E. & Sofron J. - Notes on Syntaxonomy of Cultural Forest Communities. - 1980
Hada? E., Ježek V. & B?ezina P.;1969;Rostlinná spole?enstva trojroh?ho plesa ve vysok?ch tatrách.;Zborník prác o tatranskom nârodnom parku 11: 481-494. ;Hada? E., Ježek V. & B?ezina P. - Rostlinná spole?enstva trojroh?ho plesa ve vysok?ch tatrách. - 1969
Hájková P. & Hájek M.;2005;Diversity of Calthion wet meadows in the western part of flysch Carpathians: regional classification based on national formal definitions.;Thaiszia - J. Bot. 15: 85-116.  ;Hájková P. & Hájek M. - Diversity of Calthion wet meadows in the western part of flysch Carpathians: regional classification based on national formal definitions. - 2005
